1,SIN ESPECIFICAR
2,PRESIDENCIA
3,GERENCIA DE ADMINISTRACION DE FLOTAS
4,GERENCIA DE ADMINISTRACION Y FINANZAS
5,GERENCIA DE GESTION DEL TALENTO HUMANO
6,GERENCIA DE MANTENIMIENTO
7,GERENCIA DE OPERACIONES CARONI-SUR
8,GERENCIA DE OPERACIONES OESTE
9,GERENCIA DE RECAUDACION Y COMERCIALIZACION
10,GERENCIA DE TECNOLOGIA
11,GERENCIA DE PLANIFICACION Y PRESUPUESTO
12,OFICINA DE ATENCION AL CIUDADANO
13,SEGURIDAD Y PROTECCION
14,GERENCIA DE SERVICIOS GENERALES
15,COORDINACION DE PROVEEDURIA
16,CONVENIO SITSSA
17,CONSULTORIA JURIDICA
